,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
14667,10044,2019-02-23,14,Pulseira Liso,1,87,87
14668,10044,2019-02-23,14,Meia,1,30,30
14682,10052,2019-02-23,14,Casaco Xadrez,1,259,259
14683,10052,2019-02-23,14,Casaco Estampa,2,256,512
14750,10106,2019-02-23,14,Mochila Xadrez,2,283,566
14781,10134,2019-02-23,14,Camisa Estampa,4,113,452
14782,10134,2019-02-23,14,Mochila Xadrez,2,283,566
14823,10160,2019-02-23,14,Meia Estampa,2,50,100
14824,10160,2019-02-23,14,Cinto Xadrez,3,215,645
14825,10160,2019-02-23,14,Meia,2,30,60
14832,10170,2019-02-23,14,Tênis Linho,1,294,294
14852,10189,2019-02-23,14,Gorro Listrado,1,97,97
14895,10213,2019-02-23,14,Bermuda Estampa,1,169,169
14896,10213,2019-02-23,14,Relógio Xadrez,2,214,428
14897,10213,2019-02-23,14,Camisa Estampa,2,113,226
14898,10213,2019-02-23,14,Gorro Estampa,2,93,186
14899,10213,2019-02-23,14,Cinto Listrado,2,214,428
14934,10240,2019-02-23,14,Pulseira,5,70,350
