,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
64306,44463,2019-08-18,17,Tênis Xadrez,5,259,1295
64307,44463,2019-08-18,17,Meia Liso,3,38,114
64308,44463,2019-08-18,17,Mochila Xadrez,1,283,283
64425,44536,2019-08-18,17,Terno Xadrez,1,709,709
64426,44536,2019-08-18,17,Mochila,1,270,270
64451,44555,2019-08-18,17,Bermuda Linho,3,195,585
64452,44555,2019-08-18,17,Short Liso,2,108,216
64455,44557,2019-08-18,17,Bermuda Xadrez,2,155,310
64529,44611,2019-08-18,17,Terno Liso,2,720,1440
64531,44614,2019-08-18,17,Pulseira Estampa,1,87,87
