,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
37510,25885,2019-05-15,24,Camiseta Listrado,1,197,197
37604,25944,2019-05-15,24,Tênis,1,250,250
37605,25944,2019-05-15,24,Bermuda Estampa,1,169,169
37606,25944,2019-05-15,24,Calça Liso,1,190,190
37678,25992,2019-05-15,24,Camisa Estampa,3,113,339
37679,25992,2019-05-15,24,Cinto Estampa,2,209,418
37691,26002,2019-05-15,24,Bermuda Estampa,2,169,338
37741,26033,2019-05-15,24,Gorro Xadrez,1,85,85
37742,26033,2019-05-15,24,Casaco Linho,1,299,299
37743,26033,2019-05-15,24,Tênis Listrado,1,262,262
