,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
77568,53806,2019-10-04,1,Short Listrado,2,102,204
77600,53834,2019-10-04,1,Mochila Listrado,3,275,825
77601,53834,2019-10-04,1,Bermuda Linho,4,195,780
77602,53834,2019-10-04,1,Calça Liso,1,190,190
77621,53846,2019-10-04,1,Short Linho,1,133,133
77622,53846,2019-10-04,1,Calça Linho,1,211,211
77623,53846,2019-10-04,1,Bermuda Xadrez,1,155,155
77624,53846,2019-10-04,1,Meia Estampa,2,50,100
77625,53846,2019-10-04,1,Bermuda Xadrez,1,155,155
77683,53884,2019-10-04,1,Bermuda Liso,2,157,314
77720,53912,2019-10-04,1,Sunga Linho,1,149,149
77739,53923,2019-10-04,1,Casaco Linho,1,299,299
77740,53923,2019-10-04,1,Casaco Listrado,3,269,807
