,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
40901,28177,2019-05-27,3,Chinelo,2,60,120
40941,28202,2019-05-27,3,Short Xadrez,1,100,100
40942,28202,2019-05-27,3,Casaco Xadrez,1,259,259
40943,28202,2019-05-27,3,Mochila Linho,1,311,311
40944,28202,2019-05-27,3,Short Xadrez,5,100,500
40963,28215,2019-05-27,3,Camisa Gola V,2,100,200
40964,28215,2019-05-27,3,Bermuda Estampa,1,169,169
40965,28215,2019-05-27,3,Chinelo Xadrez,5,66,330
40966,28215,2019-05-27,3,Calça,2,170,340
40967,28215,2019-05-27,3,Camisa Liso,1,105,105
41038,28266,2019-05-27,3,Cueca,2,50,100
41044,28273,2019-05-27,3,Camisa Gola V Listrado,3,116,348
41090,28299,2019-05-27,3,Sunga Liso,4,114,456
41172,28359,2019-05-27,3,Relógio Linho,1,240,240
