,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
28817,19904,2019-04-14,23,Meia,1,30,30
28832,19913,2019-04-14,23,Gorro Xadrez,2,85,170
28865,19937,2019-04-14,23,Pulseira Xadrez,2,87,174
28924,19973,2019-04-14,23,Meia,3,30,90
28925,19973,2019-04-14,23,Chinelo Xadrez,2,66,132
28926,19973,2019-04-14,23,Cueca Liso,4,69,276
28927,19973,2019-04-14,23,Meia Listrado,2,37,74
28968,20001,2019-04-14,23,Cinto Estampa,1,209,209
28969,20001,2019-04-14,23,Camisa Gola V Liso,2,118,236
29037,20040,2019-04-14,23,Sapato Estampa,1,358,358
