,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
34718,23939,2019-05-05,15,Gorro Estampa,1,93,93
34719,23939,2019-05-05,15,Sunga Linho,2,149,298
34815,24002,2019-05-05,15,Gorro,4,80,320
34816,24002,2019-05-05,15,Sunga Estampa,2,120,240
34825,24013,2019-05-05,15,Gorro,3,80,240
34826,24013,2019-05-05,15,Relógio,4,200,800
34827,24013,2019-05-05,15,Bermuda Estampa,4,169,676
34885,24053,2019-05-05,15,Camisa Linho,1,141,141
34891,24061,2019-05-05,15,Tênis Liso,1,266,266
34892,24061,2019-05-05,15,Chinelo,2,60,120
34937,24090,2019-05-05,15,Gorro,1,80,80
