,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
92892,64313,2019-11-27,13,Camiseta Liso,2,187,374
92961,64364,2019-11-27,13,Meia Estampa,5,50,250
92962,64364,2019-11-27,13,Casaco Linho,1,299,299
92973,64371,2019-11-27,13,Relógio Liso,2,216,432
92987,64377,2019-11-27,13,Relógio Listrado,1,218,218
92988,64378,2019-11-27,13,Polo Estampa,1,138,138
92989,64378,2019-11-27,13,Calça,2,170,340
93025,64411,2019-11-27,13,Chinelo Listrado,2,73,146
93026,64411,2019-11-27,13,Bermuda Linho,3,195,585
93053,64432,2019-11-27,13,Terno,2,700,1400
93054,64432,2019-11-27,13,Cinto,2,200,400
