,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
56425,39008,2019-07-21,16,Camisa Gola V Liso,1,118,118
56426,39008,2019-07-21,16,Casaco,1,250,250
56500,39058,2019-07-21,16,Camisa Linho,3,141,423
56501,39058,2019-07-21,16,Short Linho,1,133,133
56502,39058,2019-07-21,16,Camisa Gola V Linho,1,145,145
56629,39137,2019-07-21,16,Bermuda Listrado,4,163,652
56630,39137,2019-07-21,16,Calça Linho,1,211,211
56631,39137,2019-07-21,16,Bermuda Xadrez,2,155,310
56635,39139,2019-07-21,16,Meia Listrado,3,37,111
56636,39139,2019-07-21,16,Sapato Liso,2,368,736
56679,39168,2019-07-21,16,Calça,3,170,510
56680,39168,2019-07-21,16,Meia Listrado,1,37,37
