,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
94474,65412,2019-12-03,11,Relógio Liso,3,216,648
94476,65414,2019-12-03,11,Camiseta Liso,2,187,374
94486,65422,2019-12-03,11,Cinto Xadrez,3,215,645
94487,65422,2019-12-03,11,Sunga Estampa,5,120,600
94577,65478,2019-12-03,11,Cueca Listrado,2,67,134
94578,65478,2019-12-03,11,Camiseta Xadrez,2,200,400
94579,65478,2019-12-03,11,Calça Xadrez,1,185,185
94614,65510,2019-12-03,11,Relógio Xadrez,5,214,1070
94615,65510,2019-12-03,11,Bermuda,2,150,300
94616,65510,2019-12-03,11,Cinto Xadrez,3,215,645
94640,65538,2019-12-03,11,Camisa Estampa,1,113,113
94641,65538,2019-12-03,11,Cinto Estampa,3,209,627
94642,65538,2019-12-03,11,Polo Xadrez,3,142,426
94722,65584,2019-12-03,11,Bermuda Estampa,1,169,169
