,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
41744,28750,2019-05-30,7,Casaco Linho,2,299,598
41745,28750,2019-05-30,7,Mochila Xadrez,2,283,566
41746,28750,2019-05-30,7,Sapato Xadrez,3,368,1104
41747,28750,2019-05-30,7,Terno Liso,5,720,3600
41804,28789,2019-05-30,7,Chinelo Liso,3,71,213
41805,28789,2019-05-30,7,Short Linho,1,133,133
41806,28789,2019-05-30,7,Meia Estampa,1,50,50
41807,28789,2019-05-30,7,Terno Liso,1,720,720
41808,28789,2019-05-30,7,Cinto,1,200,200
41809,28789,2019-05-30,7,Camisa Gola V Estampa,3,118,354
41831,28808,2019-05-30,7,Sapato Listrado,3,363,1089
41832,28808,2019-05-30,7,Bermuda Linho,2,195,390
41842,28818,2019-05-30,7,Terno Estampa,2,706,1412
41901,28859,2019-05-30,7,Cinto Liso,2,209,418
41902,28859,2019-05-30,7,Cinto Linho,1,248,248
41923,28871,2019-05-30,7,Camisa Linho,2,141,282
41924,28871,2019-05-30,7,Sunga Estampa,3,120,360
41925,28871,2019-05-30,7,Cinto Linho,3,248,744
42019,28929,2019-05-30,7,Casaco Linho,5,299,1495
