,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
21787,15025,2019-03-20,9,Pulseira Linho,2,114,228
21788,15025,2019-03-20,9,Camisa Estampa,1,113,113
21794,15031,2019-03-20,9,Relógio Linho,2,240,480
21852,15081,2019-03-20,9,Chinelo Listrado,5,73,365
21853,15081,2019-03-20,9,Cueca Listrado,1,67,67
21854,15081,2019-03-20,9,Tênis Estampa,1,256,256
21909,15122,2019-03-20,9,Casaco Listrado,2,269,538
21974,15163,2019-03-20,9,Polo Listrado,2,149,298
21975,15163,2019-03-20,9,Polo,2,130,260
21989,15175,2019-03-20,9,Cueca Linho,1,93,93
21990,15175,2019-03-20,9,Polo Listrado,3,149,447
21991,15175,2019-03-20,9,Sapato Listrado,2,363,726
