,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
99298,68815,2019-12-20,8,Sapato Xadrez,5,368,1840
99299,68815,2019-12-20,8,Casaco Liso,1,255,255
99300,68815,2019-12-20,8,Sapato Xadrez,3,368,1104
99323,68828,2019-12-20,8,Short Estampa,1,96,96
99324,68828,2019-12-20,8,Short Liso,3,108,324
99348,68843,2019-12-20,8,Meia Xadrez,1,41,41
99443,68918,2019-12-20,8,Sapato,2,350,700
99444,68918,2019-12-20,8,Camisa Listrado,5,108,540
99445,68918,2019-12-20,8,Sapato Xadrez,3,368,1104
99521,68974,2019-12-20,8,Chinelo Linho,2,105,210
