,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
46925,32344,2019-06-17,25,Polo Linho,5,176,880
46978,32386,2019-06-17,25,Meia Liso,4,38,152
46979,32386,2019-06-17,25,Casaco,5,250,1250
46980,32386,2019-06-17,25,Camisa Gola V Listrado,1,116,116
46981,32386,2019-06-17,25,Tênis Listrado,2,262,524
47044,32436,2019-06-17,25,Bermuda Xadrez,5,155,775
47045,32436,2019-06-17,25,Cinto Liso,2,209,418
47046,32436,2019-06-17,25,Tênis Estampa,5,256,1280
47072,32451,2019-06-17,25,Camisa Estampa,2,113,226
47073,32451,2019-06-17,25,Casaco Linho,3,299,897
