,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
59797,41325,2019-08-02,6,Short Liso,3,108,324
59798,41325,2019-08-02,6,Camisa Gola V,4,100,400
59799,41325,2019-08-02,6,Polo Linho,2,176,352
59800,41325,2019-08-02,6,Camisa Listrado,3,108,324
59828,41349,2019-08-02,6,Cueca Listrado,3,67,201
59866,41374,2019-08-02,6,Camisa Gola V Linho,2,145,290
59867,41374,2019-08-02,6,Sapato Linho,5,391,1955
59877,41380,2019-08-02,6,Mochila,1,270,270
59878,41380,2019-08-02,6,Relógio Estampa,2,219,438
59879,41380,2019-08-02,6,Meia Estampa,1,50,50
59947,41424,2019-08-02,6,Cinto Listrado,3,214,642
59948,41424,2019-08-02,6,Camiseta,4,180,720
59982,41444,2019-08-02,6,Relógio Xadrez,5,214,1070
60049,41498,2019-08-02,6,Mochila Liso,1,276,276
60054,41501,2019-08-02,6,Tênis Xadrez,2,259,518
60055,41501,2019-08-02,6,Short Liso,1,108,108
60066,41508,2019-08-02,6,Cueca,2,50,100
