,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
10745,7421,2019-02-09,10,Meia Listrado,4,37,148
10746,7421,2019-02-09,10,Casaco Linho,1,299,299
10747,7421,2019-02-09,10,Gorro Xadrez,2,85,170
10748,7421,2019-02-09,10,Gorro Linho,2,124,248
10789,7453,2019-02-09,10,Relógio Estampa,3,219,657
10864,7509,2019-02-09,10,Chinelo Xadrez,2,66,132
10942,7563,2019-02-09,10,Sunga,1,100,100
10943,7563,2019-02-09,10,Calça Xadrez,1,185,185
10944,7563,2019-02-09,10,Sunga Xadrez,3,116,348
10945,7563,2019-02-09,10,Camisa Gola V Listrado,5,116,580
10950,7565,2019-02-09,10,Short Estampa,3,96,288
