,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
92829,64265,2019-11-27,21,Cueca Linho,2,93,186
92830,64265,2019-11-27,21,Sapato Estampa,4,358,1432
92864,64292,2019-11-27,21,Camisa Gola V Listrado,1,116,116
92877,64301,2019-11-27,21,Chinelo Xadrez,2,66,132
92878,64301,2019-11-27,21,Camisa Gola V Estampa,5,118,590
92896,64315,2019-11-27,21,Camisa Xadrez,1,105,105
92897,64315,2019-11-27,21,Gorro Listrado,3,97,291
92898,64315,2019-11-27,21,Cueca,3,50,150
92949,64357,2019-11-27,21,Short Linho,2,133,266
93003,64389,2019-11-27,21,Chinelo Estampa,2,74,148
93004,64389,2019-11-27,21,Camisa Gola V Linho,2,145,290
