,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
45452,31318,2019-06-12,22,Camiseta Xadrez,2,200,400
45453,31318,2019-06-12,22,Sunga Liso,1,114,114
45454,31318,2019-06-12,22,Tênis Liso,1,266,266
45455,31318,2019-06-12,22,Pulseira Linho,1,114,114
45456,31318,2019-06-12,22,Sapato Linho,2,391,782
45505,31352,2019-06-12,22,Mochila,4,270,1080
45506,31352,2019-06-12,22,Sunga Estampa,2,120,240
45507,31352,2019-06-12,22,Chinelo Listrado,1,73,73
45548,31382,2019-06-12,22,Relógio Listrado,1,218,218
45563,31391,2019-06-12,22,Bermuda Xadrez,1,155,155
45581,31408,2019-06-12,22,Calça Listrado,1,181,181
45582,31408,2019-06-12,22,Gorro Xadrez,2,85,170
45640,31444,2019-06-12,22,Sunga,3,100,300
45641,31444,2019-06-12,22,Chinelo Liso,4,71,284
45642,31444,2019-06-12,22,Camiseta Xadrez,1,200,200
