,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
45411,31288,2019-06-12,4,Camisa Gola V,1,100,100
45427,31298,2019-06-12,4,Terno Linho,3,750,2250
45441,31309,2019-06-12,4,Relógio Estampa,4,219,876
45442,31309,2019-06-12,4,Short Xadrez,1,100,100
45546,31380,2019-06-12,4,Chinelo Listrado,2,73,146
45605,31422,2019-06-12,4,Short,1,90,90
45606,31422,2019-06-12,4,Terno Listrado,5,709,3545
45607,31422,2019-06-12,4,Camisa Linho,5,141,705
45608,31422,2019-06-12,4,Camisa Gola V Liso,1,118,118
45647,31446,2019-06-12,4,Tênis Linho,2,294,588
45648,31446,2019-06-12,4,Bermuda Estampa,2,169,338
45661,31456,2019-06-12,4,Relógio,2,200,400
45676,31468,2019-06-12,4,Mochila,1,270,270
45685,31473,2019-06-12,4,Camiseta Xadrez,1,200,200
