,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
10729,7406,2019-02-09,2,Terno,4,700,2800
10730,7406,2019-02-09,2,Meia Estampa,3,50,150
10731,7406,2019-02-09,2,Sapato Linho,3,391,1173
10732,7406,2019-02-09,2,Pulseira Liso,1,87,87
10758,7432,2019-02-09,2,Relógio Linho,1,240,240
10823,7478,2019-02-09,2,Cinto Estampa,2,209,418
10836,7490,2019-02-09,2,Calça Listrado,1,181,181
10855,7505,2019-02-09,2,Pulseira Linho,2,114,228
10868,7511,2019-02-09,2,Camisa Gola V Liso,4,118,472
10900,7538,2019-02-09,2,Meia Linho,1,78,78
10933,7558,2019-02-09,2,Camiseta Liso,3,187,561
10934,7558,2019-02-09,2,Short Listrado,2,102,204
10935,7558,2019-02-09,2,Cueca Linho,1,93,93
10936,7558,2019-02-09,2,Chinelo Estampa,2,74,148
10992,7594,2019-02-09,2,Camisa Liso,1,105,105
10993,7594,2019-02-09,2,Camisa Gola V Estampa,1,118,118
10994,7594,2019-02-09,2,Gorro Xadrez,1,85,85
