,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
69095,47840,2019-09-04,12,Pulseira Listrado,4,79,316
69096,47840,2019-09-04,12,Relógio Xadrez,3,214,642
69155,47876,2019-09-04,12,Chinelo Liso,2,71,142
69158,47878,2019-09-04,12,Meia,1,30,30
69176,47889,2019-09-04,12,Calça Xadrez,2,185,370
69177,47889,2019-09-04,12,Bermuda Listrado,1,163,163
69220,47927,2019-09-04,12,Casaco Estampa,1,256,256
69221,47927,2019-09-04,12,Bermuda,1,150,150
69230,47937,2019-09-04,12,Camisa Gola V Listrado,1,116,116
69231,47937,2019-09-04,12,Camisa Gola V Liso,1,118,118
69232,47937,2019-09-04,12,Cinto,1,200,200
69233,47937,2019-09-04,12,Sunga,2,100,200
69234,47937,2019-09-04,12,Pulseira,5,70,350
69236,47939,2019-09-04,12,Polo Listrado,1,149,149
69247,47946,2019-09-04,12,Terno Linho,2,750,1500
69248,47946,2019-09-04,12,Camiseta Estampa,3,196,588
69371,48036,2019-09-04,12,Chinelo Liso,2,71,142
69372,48036,2019-09-04,12,Camisa Gola V,1,100,100
