,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
56982,39375,2019-07-23,18,Calça Estampa,2,177,354
56983,39375,2019-07-23,18,Chinelo Linho,3,105,315
57030,39408,2019-07-23,18,Tênis Listrado,1,262,262
57073,39445,2019-07-23,18,Meia Xadrez,3,41,123
57074,39445,2019-07-23,18,Camisa Gola V Estampa,1,118,118
57160,39501,2019-07-23,18,Camisa Gola V,1,100,100
57185,39516,2019-07-23,18,Mochila Xadrez,1,283,283
57186,39516,2019-07-23,18,Tênis Linho,3,294,882
57187,39516,2019-07-23,18,Chinelo Xadrez,1,66,66
57194,39522,2019-07-23,18,Sunga,1,100,100
57241,39553,2019-07-23,18,Cueca,2,50,100
