,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
42061,28952,2019-05-31,20,Sunga Listrado,4,114,456
42210,29054,2019-05-31,20,Pulseira Liso,2,87,174
42242,29071,2019-05-31,20,Polo Estampa,4,138,552
42243,29071,2019-05-31,20,Meia Liso,1,38,38
42244,29071,2019-05-31,20,Camiseta,3,180,540
42250,29076,2019-05-31,20,Tênis Liso,1,266,266
42251,29076,2019-05-31,20,Camisa,4,100,400
42252,29076,2019-05-31,20,Short Linho,1,133,133
42253,29076,2019-05-31,20,Short Estampa,2,96,192
42295,29102,2019-05-31,20,Sapato Estampa,3,358,1074
42296,29102,2019-05-31,20,Polo Linho,4,176,704
42297,29102,2019-05-31,20,Relógio Liso,4,216,864
