,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
38671,26659,2019-05-19,5,Camisa Listrado,2,108,216
38693,26674,2019-05-19,5,Calça Liso,2,190,380
38694,26674,2019-05-19,5,Meia Linho,3,78,234
38787,26730,2019-05-19,5,Relógio,1,200,200
38795,26736,2019-05-19,5,Bermuda Listrado,5,163,815
38796,26736,2019-05-19,5,Mochila Liso,1,276,276
38797,26737,2019-05-19,5,Camiseta Listrado,3,197,591
38798,26737,2019-05-19,5,Pulseira Xadrez,2,87,174
38846,26772,2019-05-19,5,Short Liso,1,108,108
38911,26830,2019-05-19,5,Camiseta,3,180,540
38918,26834,2019-05-19,5,Gorro Listrado,1,97,97
