,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
67703,46847,2019-08-30,19,Meia Liso,4,38,152
67736,46878,2019-08-30,19,Casaco Xadrez,2,259,518
67737,46878,2019-08-30,19,Camisa,2,100,200
67738,46881,2019-08-30,19,Calça Xadrez,3,185,555
67739,46881,2019-08-30,19,Camisa Xadrez,2,105,210
67763,46906,2019-08-30,19,Relógio Estampa,2,219,438
67764,46906,2019-08-30,19,Short Xadrez,2,100,200
67779,46914,2019-08-30,19,Calça Listrado,3,181,543
67780,46914,2019-08-30,19,Chinelo Xadrez,2,66,132
67825,46948,2019-08-30,19,Cueca,4,50,200
67826,46948,2019-08-30,19,Pulseira Estampa,5,87,435
67897,46992,2019-08-30,19,Tênis Linho,3,294,882
67932,47017,2019-08-30,19,Camisa Gola V Estampa,4,118,472
67933,47017,2019-08-30,19,Tênis Xadrez,1,259,259
67934,47017,2019-08-30,19,Camisa Gola V Xadrez,1,107,107
67935,47017,2019-08-30,19,Gorro Liso,1,92,92
67964,47036,2019-08-30,19,Camiseta Listrado,2,197,394
