ID Loja,Valor Final
Iguatemi Campinas,10082
Shopping Center Interlagos,9590
Shopping Center Leste Aricanduva,7597
Shopping Ibirapuera,6884
Palladium Shopping Curitiba,5833
Shopping Midway Mall,5368
Shopping Eldorado,5258
Center Shopping Uberlândia,5190
Novo Shopping Ribeirão Preto,4872
Rio Mar Recife,4796
Ribeirão Shopping,4771
Rio Mar Shopping Fortaleza,4731
Iguatemi Esplanada,4573
Passei das Águas Shopping,4085
Shopping Morumbi,3951
Shopping Barra,3888
Salvador Shopping,3776
Shopping União de Osasco,3685
Shopping Recife,3517
Bourbon Shopping SP,3506
Shopping SP Market,3375
Shopping Vila Velha,2557
Shopping Iguatemi Fortaleza,2214
Parque Dom Pedro Shopping,796
Norte Shopping,692
