ID Loja,Valor Final
Iguatemi Esplanada,1699681
Shopping Midway Mall,1590441
Norte Shopping,1711968
Shopping Iguatemi Fortaleza,1674824
Shopping União de Osasco,1663770
Shopping Center Interlagos,1640486
Rio Mar Recife,1722766
Salvador Shopping,1646739
Rio Mar Shopping Fortaleza,1698430
Shopping Center Leste Aricanduva,1682870
Ribeirão Shopping,1707122
Shopping Morumbi,1586444
Parque Dom Pedro Shopping,1631630
Bourbon Shopping SP,1726110
Palladium Shopping Curitiba,1721120
Passei das Águas Shopping,1649014
Center Shopping Uberlândia,1668921
Shopping Recife,1624879
Shopping Vila Velha,1731167
Shopping SP Market,1721763
Shopping Eldorado,1648111
Shopping Ibirapuera,1635060
Novo Shopping Ribeirão Preto,1678225
Iguatemi Campinas,1762419
Shopping Barra,1653103
